name,arm,c_px,L_over_A,iou,abs_err_cd_mean,cd_ref,cd_pert,ler_ref,ler_pert,lwr_ref,lwr_pert
00000051,constant,3.0,0.021552483368185247,0.9505845279341242,5.023736263736268,97.36747252747253,102.3912087912088,18.736996734420888,18.638262317799075,47.3299321360416,47.16803613297681
00000051,rademacher,3.0,0.021552483368185247,0.9445551698498388,0.15239980821294807,97.36747252747253,97.21507271925958,18.736996734420888,20.56422056864556,47.3299321360416,48.159938141966414
00000051,gaussian,3.0,0.021552483368185247,0.9426985433623721,0.3934866368199721,97.36747252747253,96.97398589065256,18.736996734420888,21.56348378231603,47.3299321360416,47.84952184660386
00000080,constant,1.0,0.025880193498140705,0.9760076227454731,2.0,81.82859706850135,83.82859706850135,16.68510955351499,16.68510955351499,18.643965582553545,18.643965582553545
00000080,rademacher,1.0,0.025880193498140705,0.9756990234085678,0.023091383282917377,81.82859706850135,81.80550568521844,16.68510955351499,17.019704012750157,18.643965582553545,19.192760520251372
00000080,gaussian,1.0,0.025880193498140705,0.9764127089624481,0.04995513012264041,81.82859706850135,81.87855219862399,16.68510955351499,17.38461246081482,18.643965582553545,19.749433094164587
00000080,constant,2.0,0.025880193498140705,0.9531960128258748,4.0,81.82859706850135,85.82859706850135,16.68510955351499,16.68510955351499,18.643965582553545,18.643965582553545
00000080,rademacher,2.0,0.025880193498140705,0.9520396106051898,0.05234819024828141,81.82859706850135,81.77624887825307,16.68510955351499,18.256152597517435,18.643965582553545,21.045632937291217
00000080,gaussian,2.0,0.025880193498140705,0.9518692339263727,0.007831060123137945,81.82859706850135,81.82076600837821,16.68510955351499,18.878043607238528,18.643965582553545,22.265502358199534
00000080,constant,3.0,0.025880193498140705,0.9314739570383943,6.0,81.82859706850135,87.82859706850135,16.68510955351499,16.68510955351499,18.643965582553545,18.643965582553545
00000080,rademacher,3.0,0.025880193498140705,0.9289655269730622,0.022251662934152705,81.82859706850135,81.8063454055672,16.68510955351499,19.58601068682588,18.643965582553545,23.578326495415155
00000080,gaussian,3.0,0.025880193498140705,0.9277697953477535,0.27639844451093154,81.82859706850135,81.55219862399042,16.68510955351499,21.245082969697606,18.643965582553545,25.694832013167442
00000090,constant,1.0,0.027158633814391372,0.9750477957714799,1.5499890134036534,60.978466271149195,62.52845528455285,9.426054483130441,9.426054483130441,18.894610989185384,18.894610989185384
00000090,rademacher,1.0,0.027158633814391372,0.9709915348963043,0.26697429136453366,60.978466271149195,60.71149197978466,9.426054483130441,10.254398755003487,18.894610989185384,19.726107622815803
00000090,gaussian,1.0,0.027158633814391372,0.971749402254355,0.15666886398593505,60.978466271149195,60.82179740716326,9.426054483130441,10.720082705204387,18.894610989185384,20.38251724839337
00000090,constant,2.0,0.027158633814391372,0.9514018435202458,3.0999780268072996,60.978466271149195,64.0784442979565,9.426054483130441,9.426054483130441,18.894610989185384,18.894610989185384
00000090,rademacher,2.0,0.027158633814391372,0.9429964965791573,0.39271429225737364,60.978466271149195,60.58575197889182,9.426054483130441,11.560707397818174,18.894610989185384,21.370908672677015
00000090,gaussian,2.0,0.027158633814391372,0.943080211719215,0.6709261524417869,60.978466271149195,60.30754011870741,9.426054483130441,12.854145988834585,18.894610989185384,23.222815939185857
00000090,constant,3.0,0.027158633814391372,0.928919156002866,4.649967040210946,60.978466271149195,65.62843331136014,9.426054483130441,9.426054483130441,18.894610989185384,18.894610989185384
00000090,rademacher,3.0,0.027158633814391372,0.9153542965290921,0.7109349455831335,60.978466271149195,60.26753132556606,9.426054483130441,13.435749834427154,18.894610989185384,24.117551574802064
00000090,gaussian,3.0,0.027158633814391372,0.9138261056515317,0.2440255181037898,60.978466271149195,60.734440753045405,9.426054483130441,15.053518143044691,18.894610989185384,25.863176897210582
00000091,constant,1.0,0.026149832843683517,0.9762378287831797,1.875,77.12060546875,78.99560546875,4.083645953259211,4.08364595325921,5.333051807629744,5.333051807629744
00000091,rademacher,1.0,0.026149832843683517,0.9751237865786406,0.1180419921875,77.12060546875,77.0025634765625,4.083645953259211,5.078621598722389,5.333051807629744,6.830938015246517
00000091,gaussian,1.0,0.026149832843683517,0.9765450414076731,0.056884765625,77.12060546875,77.063720703125,4.083645953259211,5.553100164930202,5.333051807629744,7.375867263010605
00000091,constant,2.0,0.026149832843683517,0.9535873640738304,3.75,77.12060546875,80.87060546875,4.083645953259211,4.08364595325921,5.333051807629744,5.333051807629744
00000091,rademacher,2.0,0.026149832843683517,0.9509248440562078,0.1474609375,77.12060546875,76.97314453125,4.083645953259211,7.092954018877398,5.333051807629744,9.955099531193827
00000091,gaussian,2.0,0.026149832843683517,0.95000587402383,0.242919921875,77.12060546875,76.877685546875,4.083645953259211,8.656343490387538,5.333051807629744,12.15225453218374
00000091,constant,3.0,0.026149832843683517,0.9319792521081298,5.625,77.12060546875,82.74560546875,4.083645953259211,4.083645953259209,5.333051807629744,5.333051807629744
00000091,rademacher,3.0,0.026149832843683517,0.9272876864555285,0.1087646484375,77.12060546875,77.0118408203125,4.083645953259211,9.612969844929633,5.333051807629744,13.65519992581367
00000091,gaussian,3.0,0.026149832843683517,0.9281393000985064,0.5965576171875,77.12060546875,76.5240478515625,4.083645953259211,11.622485262655555,5.333051807629744,16.429425694579912
00000099,constant,1.0,0.024401406485460735,0.976832685758317,2.0,84.52327044025158,86.52327044025158,5.305568815702924,5.305568815702924,8.665928008484153,8.665928008484153
00000099,rademacher,1.0,0.024401406485460735,0.9765650269046429,0.08238993710691034,84.52327044025158,84.60566037735849,5.305568815702924,6.116062078124685,8.665928008484153,9.72306290566619
00000099,gaussian,1.0,0.024401406485460735,0.9772121515557585,0.1323899371069217,84.52327044025158,84.39088050314466,5.305568815702924,6.6271431143112185,8.665928008484153,10.52072330295049
00000099,constant,2.0,0.024401406485460735,0.9547314723372813,4.0,84.52327044025158,88.52327044025158,5.305568815702924,5.305568815702923,8.665928008484153,8.665928008484153
00000099,rademacher,2.0,0.024401406485460735,0.9536539167675534,0.037735849056616644,84.52327044025158,84.48553459119496,5.305568815702924,8.191488352517732,8.665928008484153,12.815893879425722
00000099,gaussian,2.0,0.024401406485460735,0.9525447517789809,0.16855345911950792,84.52327044025158,84.35471698113207,5.305568815702924,9.555232043374708,8.665928008484153,14.880623105614298
00000099,constant,3.0,0.024401406485460735,0.9336244450465848,6.0,84.52327044025158,90.52327044025158,5.305568815702924,5.305568815702924,8.665928008484153,8.665928008484153
00000099,rademacher,3.0,0.024401406485460735,0.9313701211305518,0.19402515723270142,84.52327044025158,84.71729559748428,5.305568815702924,10.631508892835187,8.665928008484153,16.138500612462423
00000099,gaussian,3.0,0.024401406485460735,0.9319637101415909,0.13773584905661096,84.52327044025158,84.38553459119497,5.305568815702924,12.629073763358324,8.665928008484153,19.277544013349566
00000104,constant,1.0,0.02437696302024969,0.9763215933277475,2.0,82.49983723958333,84.49983723958333,3.951081612836472,3.9510816128364716,5.537886928902355,5.537886928902355
00000104,rademacher,1.0,0.02437696302024969,0.97603572904564,0.015625,82.49983723958333,82.48421223958333,3.951081612836472,4.9898453070056386,5.537886928902355,6.922656555795477
00000104,gaussian,1.0,0.02437696302024969,0.9768398458461388,0.1083984375,82.49983723958333,82.39143880208333,3.951081612836472,5.495889875830848,5.537886928902355,7.699962126789129
00000104,constant,2.0,0.02437696302024969,0.9537439670338975,4.0,82.49983723958333,86.49983723958333,3.951081612836472,3.9510816128364716,5.537886928902355,5.537886928902355
00000104,rademacher,2.0,0.02437696302024969,0.9526295202255223,0.0625,82.49983723958333,82.43733723958333,3.951081612836472,7.161734118322898,5.537886928902355,10.079262522574217
00000104,gaussian,2.0,0.02437696302024969,0.9526505086912656,0.06689453125,82.49983723958333,82.56673177083333,3.951081612836472,8.65153053298498,5.537886928902355,12.221099410603136
00000104,constant,3.0,0.02437696302024969,0.9321903914165331,6.0,82.49983723958333,88.49983723958333,3.951081612836472,3.9510816128364716,5.537886928902355,5.537886928902355
00000104,rademacher,3.0,0.02437696302024969,0.9297966394681633,0.01171875,82.49983723958333,82.48811848958333,3.951081612836472,9.846967515929888,5.537886928902355,14.002494611919774
00000104,gaussian,3.0,0.02437696302024969,0.9293288839451243,0.1490885416666714,82.49983723958333,82.64892578125,3.951081612836472,12.047983394491373,5.537886928902355,16.608068622125284
00000105,constant,1.0,0.02505401808093205,0.975782130254964,2.0,80.71456473214286,82.71456473214286,4.286377803771308,4.286377803771308,5.669922965509332,5.669922965509332
00000105,rademacher,1.0,0.02505401808093205,0.9754792726428255,0.01953125,80.71456473214286,80.69503348214286,4.286377803771308,5.239645731835497,5.669922965509332,7.028347675631367
00000105,gaussian,1.0,0.02505401808093205,0.9765830081210558,0.0390625,80.71456473214286,80.75362723214286,4.286377803771308,5.754588083293073,5.669922965509332,7.86227872530707
00000105,constant,2.0,0.02505401808093205,0.9527173796690167,4.0,80.71456473214286,84.71456473214286,4.286377803771308,4.286377803771307,5.669922965509332,5.669922965509332
00000105,rademacher,2.0,0.02505401808093205,0.951587882385078,0.051339285714277594,80.71456473214286,80.76590401785714,4.286377803771308,7.404921231579016,5.669922965509332,10.440089479467222
00000105,gaussian,2.0,0.02505401808093205,0.9519331789735694,0.06640625,80.71456473214286,80.78097098214286,4.286377803771308,8.682911347726503,5.669922965509332,11.779826803172929
00000105,constant,3.0,0.02505401808093205,0.930732796622713,6.0,80.71456473214286,86.71456473214286,4.286377803771308,4.286377803771308,5.669922965509332,5.669922965509332
00000105,rademacher,3.0,0.02505401808093205,0.9282396299850715,0.041015625,80.71456473214286,80.75558035714286,4.286377803771308,9.968462557779983,5.669922965509332,13.812059139359594
