split,name,pred_foreground_ratio,pred_component_count,pred_profile_count,pred_profile_total_length,pred_cd_mean,pred_cd_std,pred_lwr_3sigma,pred_ler_low_3sigma,pred_ler_high_3sigma,pred_ler_mean_3sigma,pred_edge_psd_hf_ratio_1d,pred_necking_score,pred_bulging_score,disagreement,fg_dev,cc_dev,label
in_dist,00000544,0.57118988,15.0,15.0,4752.0,31.511364,4.2491457,12.747437,9.3426391,10.170213,9.7564258,0.011699911,0.96476723,0.39927798,0.012711846376343927,0.0018272400000000077,0.0,False
in_dist,00000545,0.57991028,9.0,9.0,4608.0,32.991536,0.83963812,2.5189144,1.71228,1.6967815,1.7045308,0.041985428,0.17711347,0.15204114,0.014095609017240496,0.00019837000000000327,0.0,True
in_dist,00000548,0.51646042,7.0,7.0,3513.0,38.538856,1.1361441,3.4084324,1.9785816,2.2118324,2.095207,0.046743365,0.92775229,0.062124686,0.006777412671504224,0.00019455000000001554,0.0,False
in_dist,00000554,0.53686142,7.0,7.0,3584.0,39.267578,0.83616409,2.5084923,1.8221985,1.8555567,1.8388776,0.049684999,0.068862128,0.062345618,0.006431104945219368,0.0006370500000000279,0.0,False
in_dist,00000566,0.47930527,6.0,6.0,3072.0,40.900716,0.89710123,2.6913037,1.8519719,1.871201,1.8615865,0.048944775,0.1073835,0.087715985,0.006552248945703609,0.00034333000000003056,0.0,False
in_dist,00000571,0.27850723,7.0,7.0,2349.0,31.080885,1.7476473,5.2429418,2.8674392,2.687997,2.7777181,0.031455119,0.9755216,0.25831202,0.008203744757004916,0.0005149799999999982,0.0,False
in_dist,00000585,0.32751083,4.0,4.0,2048.0,41.919434,0.85796369,2.5738911,1.7670547,1.8579333,1.812494,0.04736975,0.092029121,0.051334702,0.0056775528270391895,0.0005683899999999742,0.0,False
in_dist,00000605,0.54705048,15.0,15.0,4675.0,30.674652,3.5269617,10.580885,9.1375618,7.9097822,8.523672,0.021779618,0.96227719,0.33151543,0.01329671299985724,0.0005950999999999596,1.0,False
in_dist,00000607,0.64955139,11.0,11.0,5632.0,30.233665,0.77924671,2.3377401,1.6827364,1.4485314,1.5656339,0.053581045,0.13411765,0.095550801,0.010242425789705245,0.0005569500000000005,0.0,False
in_dist,00000608,0.61975479,8.0,8.0,4096.0,39.664307,0.97919825,2.9375947,1.9757745,2.2360894,2.105932,0.034813738,0.08874277,0.065273141,0.005862407347308252,8.39200000000151e-05,0.0,False
in_dist,00000609,0.40687561,5.0,5.0,2560.0,41.664062,0.93955916,2.8186775,1.9770813,1.9380238,1.9575526,0.045587269,0.064905872,0.063142992,0.0069170165738920986,4.577999999999527e-05,0.0,False
in_dist,00000614,0.55731201,10.0,10.0,4479.0,32.617995,1.7921992,5.3765977,4.0429977,4.6270699,4.3350338,0.02355621,0.92696937,0.31455142,0.009310093588225765,0.0010147099999999742,0.0,False
