split,model,name,disagreement,abs_err_cd_mean,pred_fg_dev,pred_cc_dev
standard,hrnet,00000152,0.006159738271934501,0.025137952,0.00021744000000001318,0.0
standard,segformer,00000152,0.006797686953074145,0.0032238165,0.0004234300000000024,0.0
standard,unet,00000173,0.0058630940644048835,0.053827098,1.1440000000029205e-05,0.0
standard,deeplabv3plus,00000173,0.00815987153454667,0.013397449,0.000915520000000003,0.0
standard,hrnet,00000173,0.005926317562046091,0.0625,1.1440000000029205e-05,0.0
standard,segformer,00000173,0.0062113263327066015,0.068304598,0.00034714000000002354,0.0
standard,unet,00000177,0.005638930409179399,0.055664062,0.00038146999999999487,0.0
standard,deeplabv3plus,00000177,0.007138918543183714,0.0024414062,0.0008315999999999324,0.0
standard,hrnet,00000177,0.005579653667647122,0.03125,0.00038146999999999487,0.0
standard,segformer,00000177,0.006230453964748306,0.060791016,0.0004615800000000725,0.0
standard,unet,00000180,0.005845007710194139,0.01171875,5.721999999996896e-05,0.0
standard,deeplabv3plus,00000180,0.007532933253986074,0.029785156,0.00038146999999999487,0.0
standard,hrnet,00000180,0.005728146457908978,0.019042969,5.721999999996896e-05,0.0
standard,segformer,00000180,0.0061323920784760455,0.042480469,0.0002403299999999553,0.0
standard,unet,00000419,0.006316049062652707,0.069824219,0.00011824999999998642,0.0
standard,deeplabv3plus,00000419,0.008168547459555975,0.031005859,0.000606529999999994,0.0
standard,hrnet,00000419,0.006268058910554486,0.062255859,0.00011824999999998642,0.0
standard,segformer,00000419,0.006967770437684151,0.076416016,0.00022125000000006168,0.0
standard,unet,00000426,0.007093601815384432,0.018229167,4.196000000000755e-05,0.0
standard,deeplabv3plus,00000426,0.009415376776299667,0.080078125,0.0011939999999999729,0.0
standard,hrnet,00000426,0.007121588333968698,0.021809896,4.196000000000755e-05,0.0
standard,segformer,00000426,0.007083950497936864,0.023763021,6.485000000000518e-05,0.0
standard,unet,00000443,0.005943505412150718,0.059765625,0.00017928999999999862,0.0
standard,deeplabv3plus,00000443,0.007783658977272623,0.005859375,0.0006408700000000156,0.0
standard,hrnet,00000443,0.005738578310603537,0.04140625,0.00017928999999999862,0.0
standard,segformer,00000443,0.006100764704007999,0.103125,0.000602720000000001,0.0
standard,unet,00000447,0.006246081055624519,0.03125,0.0003929200000000188,0.0
standard,deeplabv3plus,00000447,0.008323447726839128,0.058349609,0.0014000000000000679,0.0
standard,hrnet,00000447,0.006204293132845984,0.0061035156,0.0003929200000000188,0.0
standard,segformer,00000447,0.006622122930652563,0.047607422,0.0006484999999999408,0.0
standard,unet,00000449,0.005934874265400958,0.04765625,7.629000000003439e-05,0.0
standard,deeplabv3plus,00000449,0.007443271131645446,0.00234375,0.0004768399999999784,0.0
standard,hrnet,00000449,0.005629068409051197,0.046484375,6.485000000000518e-05,0.0
standard,segformer,00000449,0.00616514837451787,0.03984375,6.485000000000518e-05,0.0
standard,unet,00000452,0.006874390378610151,0.11024063,0.0009307900000000147,0.0
standard,deeplabv3plus,00000452,0.008694794702800213,0.086910191,0.0006484999999999963,0.0
standard,hrnet,00000452,0.006520895418437145,0.028539452,1.5260000000016927e-05,0.0
standard,segformer,00000452,0.006557313529620745,0.039527619,1.5260000000016927e-05,0.0
standard,unet,00000457,0.00586455601489122,0.0625,0.0002822800000000236,0.0
standard,deeplabv3plus,00000457,0.007530486845997442,0.00625,0.0006523099999999893,0.0
standard,hrnet,00000457,0.005878729041821518,0.03359375,0.0002632100000000137,0.0
standard,segformer,00000457,0.006016580632040136,0.060546875,0.0002632100000000137,0.0
standard,unet,00000463,0.005196499065851512,0.048317381,0.00024796000000004703,0.0
standard,deeplabv3plus,00000463,0.008162631983454127,0.16244495,0.0017890900000000487,0.0
standard,hrnet,00000463,0.0051527890731423165,0.010323466,0.00024796000000004703,0.0
standard,segformer,00000463,0.00568733258379428,0.072797147,0.00035857999999999723,0.0
standard,unet,00000477,0.006725956004649536,0.034288194,0.000503539999999969,0.0
standard,deeplabv3plus,00000477,0.008748259633483357,0.054470486,0.0015602099999999508,0.0
standard,hrnet,00000477,0.0067364961253980615,0.0056423611,0.000503539999999969,0.0
standard,segformer,00000477,0.007158665806616171,0.040581597,0.0006141699999999695,0.0
standard,unet,00000497,0.008682179005148227,0.034054054,0.0002441400000000038,0.0
standard,deeplabv3plus,00000497,0.011579089242408913,0.01541082,0.00035477000000000425,0.0
standard,hrnet,00000497,0.008772001516550776,0.026043588,1.1439999999973693e-05,0.0
standard,segformer,00000497,0.009209540235309621,0.019553594,1.1439999999973693e-05,0.0
standard,unet,00000508,0.005848338314586865,0.063964844,0.00017548000000000563,0.0
standard,deeplabv3plus,00000508,0.007748190689418677,0.0026855469,0.0010414200000000706,0.0
standard,hrnet,00000508,0.005813868218474405,0.052734375,0.00017548000000000563,0.0
standard,segformer,00000508,0.0063638809403849805,0.098144531,0.0007095299999999582,0.0
standard,unet,00000511,0.007081795476645003,4.5550199,0.00017929999999999335,0.0
standard,deeplabv3plus,00000511,0.00902200576696044,4.6005484,0.00041962000000000943,0.0
standard,hrnet,00000511,0.006931050079054479,4.5605877,0.00017929999999999335,0.0
