fold,model,name,iou,abs_err_cd_mean,abs_err_lwr_3sigma,abs_err_ler_mean_3sigma
0,deeplabv3plus,446,0.98598524441999,0.07402653,0.37040641,0.28844499
0,deeplabv3plus,455,0.9868378242470084,0.0109375,0.39976528,0.30782879
0,deeplabv3plus,466,0.9793908249012586,0.088299456,1.0685361,0.68939236
0,deeplabv3plus,473,0.9829592763596785,0.02109375,0.58324001,0.40944649
0,deeplabv3plus,475,0.9867974024842862,0.0024414062,0.26664489,0.18487835
0,deeplabv3plus,479,0.9865065505033151,0.032226562,0.31143387,0.25880279
0,deeplabv3plus,482,0.986280647339391,0.051953125,0.28293235,0.25120291
0,deeplabv3plus,489,0.9839134965009634,0.31915179,1.5320718,0.69204999
0,deeplabv3plus,493,0.9866213296038939,0.016276042,0.22412604,0.20546493
0,deeplabv3plus,513,0.986150602099094,0.01171875,0.2678721,0.18281186
0,deeplabv3plus,517,0.9832343958349644,0.10356807,0.42913997,0.21958672
0,deeplabv3plus,531,0.9866971599338624,0.021597642,0.42616346,0.31441219
0,deeplabv3plus,532,0.9862832670529381,0.046386719,0.43012995,0.3035968
0,deeplabv3plus,536,0.9811498025772071,0.21212726,1.3048507,0.6645519
0,deeplabv3plus,543,0.9869614022956481,0.034667969,0.37445185,0.24213338
0,deeplabv3plus,544,0.9777452880735003,0.075421595,0.12685113,0.00060268078
0,deeplabv3plus,545,0.9670081192731966,0.47132948,0.47716558,0.25887366
0,deeplabv3plus,548,0.9862611985154277,0.018502704,0.48952148,0.30427222
0,deeplabv3plus,554,0.9864893496800762,0.041573661,0.37635226,0.24119687
0,deeplabv3plus,566,0.9860192423323527,0.032552083,0.35314545,0.27874254
0,deeplabv3plus,571,0.984222788396005,0.0085885911,0.11025771,0.09324933
0,deeplabv3plus,585,0.9879102501556362,0.034179688,0.36195513,0.25086509
0,deeplabv3plus,605,0.9781070765486357,0.098644816,0.18690088,0.12332231
0,deeplabv3plus,607,0.9815852495983506,0.10369318,0.31326296,0.21047772
0,deeplabv3plus,608,0.9873210333901947,0.029541016,0.47362051,0.32787858
0,deeplabv3plus,609,0.9862722819295302,0.00546875,0.41843802,0.29610312
0,deeplabv3plus,614,0.9836220429625865,0.016623283,0.33233712,0.11855586
0,deeplabv3plus,625,0.9872347185741506,0.021484375,0.24693028,0.22666911
0,deeplabv3plus,626,0.9870347628932233,0.0014648438,0.38600027,0.26234317
0,deeplabv3plus,630,0.986387105463129,0.028950129,0.42026003,0.27914518
0,deeplabv3plus,633,0.984354654340257,0.054429332,0.3648063,0.31142824
0,deeplabv3plus,634,0.9869657332335622,0.056640625,0.37946806,0.26206338
0,deeplabv3plus,637,0.9843000522008645,0.1049472,0.7696117,0.43305876
0,deeplabv3plus,640,0.9865100058445784,0.020751953,0.40619698,0.31792637
0,deeplabv3plus,646,0.9873597332407239,0.035644531,0.33436847,0.21361052
0,deeplabv3plus,649,0.9848659643568644,0.036458333,0.48236981,0.32886634
0,deeplabv3plus,651,0.9872292933414321,0.015625,0.36424101,0.27861178
0,deeplabv3plus,656,0.986269012333255,0.021875,0.37723502,0.2592693
0,deeplabv3plus,657,0.9865869918892056,0.061035156,0.39679124,0.29465959
0,deeplabv3plus,659,0.9869269490932728,0.020507812,0.36062324,0.21468288
0,deeplabv3plus,665,0.9868976202765191,0.018229167,0.40087044,0.25987326
0,deeplabv3plus,666,0.9856066829409277,0.067871094,0.51600248,0.33696688
0,deeplabv3plus,674,0.9871704838056716,0.017815679,0.82756572,0.3098118
0,deeplabv3plus,676,0.9701250741445591,0.27906977,0.41379129,0.14252379
0,deeplabv3plus,679,0.9846873376049602,0.01953125,0.51393779,0.37096116
0,deeplabv3plus,687,0.983875451763751,0.0044959181,0.043608122,0.045514865
0,deeplabv3plus,690,0.9738586616623216,0.1658711,1.1248875,0.56113241
0,deeplabv3plus,693,0.9882000523025445,0.13802083,0.24637298,0.18400034
0,deeplabv3plus,694,0.9851659514094928,0.0546875,0.4065959,0.29726974
0,deeplabv3plus,695,0.9867605142214103,0.051757812,0.21854793,0.17080854
0,deeplabv3plus,708,0.9849291134837955,0.057796458,0.40232308,0.24111479
0,deeplabv3plus,709,0.9860561914660816,0.0234375,0.27770611,0.24043065
0,deeplabv3plus,717,0.981575646736207,0.19311523,0.58210398,0.35541853
0,deeplabv3plus,720,0.9863552621469003,0.003125,0.34561205,0.18422707
0,deeplabv3plus,723,0.977666884326096,0.006912199,0.31109137,0.16383201
0,deeplabv3plus,728,0.9869318528454719,0.0026855469,0.37392926,0.25953904
0,deeplabv3plus,731,0.9861113400694135,0.05078125,0.36343385,0.26091348
0,deeplabv3plus,735,0.9869554677001091,0.023828125,0.38896186,0.29412179
0,deeplabv3plus,741,0.9861936261323454,0.028076172,0.36698903,0.2481718
0,deeplabv3plus,742,0.9848112863994821,0.080594882,0.57084205,0.30009187
0,deeplabv3plus,746,0.9866730565288904,0.020703125,0.31016413,0.24597259
0,deeplabv3plus,754,0.9864739239555764,0.11015625,0.41024517,0.29607782
0,deeplabv3plus,763,0.9838140027977343,0.0026579432,0.3216767,0.19035426
0,deeplabv3plus,764,0.9856726229041458,0.0043945312,0.40959171,0.29845669
